Social Key Words,Frequency
Employees,1347
Health,591
Safety,529
Diversity,440
Inclusion,313
Training,498
Development,639
Equality,260
Human Rights,363
Working Conditions,216
Community,358
Engagement,331
Well-being,181
Supplier,573
Labour,243
Education,239
Stakeholder,539
Equal Pay,128
Workforce,379
Inclusion ,313
